ID,ID,naam,omschrijving,kleur,maat,leeftijd,categorie,afbeeldingproduct,productactief,toegevoegdop,toegevoegdop
11528,11528,37,Instappers,Lichtblauw,39,,37,/winkel/foto/37_1645898852.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11532,11532,37,Met bandje en hakje,Zwart,38,,37,/winkel/foto/37_1898172153.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11545,11545,Gympen,Stoffen gympies,Blauw,40,,37,/winkel/foto/Gympen_1254155550.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11558,11558,Bodywarmer,,Groen,134,,36,/winkel/foto/Bodywarmer_1437332946.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11562,11562,Gympen,Hoge vans,Zwart divers,40,,37,/winkel/foto/Gympen_1536075460.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11564,11564,Boekje,Uitschuifboekje Waar is hop,Divers,,,33,/winkel/foto/Boekje_1826217013.jpg,0,2017-05-25 13:41:03,2017-05-25 13:41:03
11566,11566,Gympen,Basketballs hoge gympen,Oranje,27,,37,/winkel/foto/Gympen_1211271723.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11567,11567,Zwembroekje,Nieuw,Wit divers,62-68,,34,/winkel/foto/Zwembroekje_154560444.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11570,11570,16,Shirt romper maillot,Divers,74-80,,16,/winkel/foto/16_424528578.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11574,11574,Gympen,Hoge gympen,Zwart,38,,37,/winkel/foto/Gympen_766461760.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11579,11579,Knuffels,Beren,Divers,,,33,/winkel/foto/Knuffels_1552800917.jpg,0,2017-12-08 11:19:11,2017-12-08 11:19:11
11581,11581,Jasje,Voor de zomer,Beige,62-68,,36,/winkel/foto/Jasje_1702934397.jpg,1,2017-12-08 11:19:11,2017-12-08 11:19:11
11582,11582,Speeltjes,Rups panda en rammelding,Divers,,,33,/winkel/foto/Speeltjes_1914696550.jpg,0,2017-12-08 11:19:11,2017-12-08 11:19:11
11585,11585,Knuffels,Zebra en elmo,Divers,,,33,/winkel/foto/Knuffels_1556497668.jpg,0,2017-12-08 11:19:11,2017-12-08 11:19:11
